country,year,gdp_pc_usd
COG,2011,15655383576.6515
COG,2012,17692911296.3044
COG,2013,17958720699.0868
COG,2014,17919321078.0284
COG,2015,12434793867.3568
COG,2016,10931328150.8478
COG,2017,11834473039.3645
COG,2018,14773900288.5135
COG,2019,13976637779.9763
COG,2020,11468687464.0046
COG,2021,14825690210.9157
COL,2011,334966134804.887
COL,2012,370691143018.039
COL,2013,382093697077.685
COL,2014,381240864422.407
COL,2015,293492370193.166
COL,2016,282720100286.228
COL,2017,311866875156.879
COL,2018,334198218098.276
COL,2019,323031701192.84
COL,2020,270348342541.465
COL,2021,318524633225.395
COM,2011,1023086273.53336
COM,2012,1015843490.82374
COM,2013,1116224106.83728
COM,2014,1149587661.00693
COM,2015,966029600.862227
COM,2016,1012835493.19325
COM,2017,1077439756.59451
COM,2018,1188797449.38584
COM,2019,1195019531.9011
COM,2020,1225039196.61091
COM,2021,1296089479.91978
CPV,2011,2046817987.20109
CPV,2012,1913081210.41411
CPV,2013,2028910915.16446
CPV,2014,2041930125.42979
CPV,2015,1749857620.35329
CPV,2016,1849789992.7426
CPV,2017,1996741544.61574
CPV,2018,2205099509.15987
CPV,2019,2252177133.74705
CPV,2020,1821565617.6945
CPV,2021,2051842609.64558
CRI,2011,42762613698.9636
CRI,2012,47231655431.7355
CRI,2013,50949668841.6696
CRI,2014,52016408854.2658
CRI,2015,56441920820.5194
CRI,2016,58847019609.6549
CRI,2017,60516044656.5206
CRI,2018,62420164991.5374
CRI,2019,64417670521.3545
CRI,2020,62395610760.0492
CRI,2021,64960725734.1965
CUB,2011,68990000000.0
CUB,2012,73141000000.0
CUB,2013,77148000000.0
CUB,2014,80656100000.0
CUB,2015,87132800000.0
CUB,2016,91370407863.7
CUB,2017,96850649691.7406
CUB,2018,100050036096.123
CUB,2019,103427600000.0
CUB,2020,107351800000.0
CUB,2021,
CUW,2011,2930092234.63687
CUW,2012,3012836256.98324
CUW,2013,3033568603.35196
CUW,2014,3059406983.24022
CUW,2015,3058779217.87709
CUW,2016,3024690167.59777
CUW,2017,3033433240.22346
CUW,2018,3046364804.46927
CUW,2019,3026124134.07821
CUW,2020,2534327597.76536
CUW,2021,2739608156.42458
CYM,2011,4186073104.29242
CYM,2012,4291004524.0181
CYM,2013,4405796023.18409
CYM,2014,4562853611.41445
CYM,2015,4708167232.66893
CYM,2016,4909322237.28895
CYM,2017,5166281305.12522
CYM,2018,5530178440.71376
CYM,2019,5941896607.58643
CYM,2020,5655358021.43209
CYM,2021,6060026520.10608
CYP,2011,27641547909.7011
CYP,2012,25047436974.6819
CYP,2013,23959712860.8331
CYP,2014,23225918259.9824
CYP,2015,19909278416.8575
CYP,2016,21046462280.5979
CYP,2017,22946570628.7576
CYP,2018,25754001367.5448
CYP,2019,26196667099.5303
CYP,2020,25555093854.2968
CYP,2021,30372874319.6285
CZE,2011,231429378717.312
CZE,2012,210363223087.728
CZE,2013,213024360541.119
CZE,2014,210911285077.683
CZE,2015,189107698561.919
CZE,2016,198160659303.939
CZE,2017,221563575696.217
CZE,2018,251992360762.236
CZE,2019,256794209028.77
CZE,2020,251109660602.536
CZE,2021,290972714482.313
DEU,2011,3824828563521.41
