country,year,resource_rents_pct_gdp
HTI,2014,1460.18898613914
HTI,2015,1411.12684746796
HTI,2016,1318.40268167953
HTI,2017,1395.23945184461
HTI,2018,1496.38048970156
HTI,2019,1352.17204191532
HTI,2020,1290.32538667383
HTI,2021,1835.44394078496
HUN,2011,14234.471576937
HUN,2012,12984.8365730133
HUN,2013,13715.0703590361
HUN,2014,14294.2584180751
HUN,2015,12717.038597002
HUN,2016,13104.6995457458
HUN,2017,14621.2395956755
HUN,2018,16425.2050299693
HUN,2019,16786.2136399075
HUN,2020,16131.9540355923
HUN,2021,18755.1023464312
IDN,2011,3579.46442452684
IDN,2012,3632.272540431
IDN,2013,3566.60284506078
IDN,2014,3441.06808455308
IDN,2015,3288.22269737572
IDN,2016,3521.46943456251
IDN,2017,3798.88326177649
IDN,2018,3860.95353077708
IDN,2019,4106.94856173421
IDN,2020,3853.70288778903
IDN,2021,4287.17313989405
IMN,2011,77808.8579649376
IMN,2012,79329.2034347434
IMN,2013,83207.6588430451
IMN,2014,91885.4528718026
IMN,2015,84753.5187422732
IMN,2016,82025.9454509241
IMN,2017,83481.3038489014
IMN,2018,89393.8244248812
IMN,2019,87127.5517977404
IMN,2020,79513.5330346598
IMN,2021,94299.969348965
IND,2011,1445.46127486037
IND,2012,1429.32199520032
IND,2013,1432.84397512195
IND,2014,1553.88396075118
IND,2015,1583.99815907985
IND,2016,1707.50892912243
IND,2017,1950.10468280866
IND,2018,1966.25455171679
IND,2019,2041.42863698585
IND,2020,1907.04251637669
IND,2021,2239.61384367482
IRL,2011,52692.7813135606
IRL,2012,49411.7387476787
IRL,2013,52619.2123745817
IRL,2014,57278.2590911107
IRL,2015,64311.8234684057
IRL,2016,64292.659966313
IRL,2017,72499.3268743015
IRL,2018,81248.3135388
IRL,2019,82508.4659883582
IRL,2020,87567.1148972037
IRL,2021,105561.137468992
IRN,2011,8025.68743364356
IRN,2012,8114.08099831877
IRN,2013,6222.74194840326
IRN,2014,5672.06372896319
IRN,2015,4952.73355532178
IRN,2016,5477.03712389913
IRN,2017,5753.11544659399
IRN,2018,4631.78709016514
IRN,2019,3831.27894763337
IRN,2020,2988.78122414716
IRN,2021,4334.79268631354
IRQ,2011,5775.54229080293
IRQ,2012,6477.59618450955
IRQ,2013,6650.35282247395
IRQ,2014,6249.39226978969
IRQ,2015,4440.14189252367
IRQ,2016,4334.42096404188
IRQ,2017,4759.2846435467
IRQ,2018,5646.68932074742
IRQ,2019,5671.8568632942
IRQ,2020,4295.18945121228
IRQ,2021,4868.49431080783
ISL,2011,47714.5922308485
ISL,2012,45995.5478789467
ISL,2013,49804.9829978371
ISL,2014,54576.7448146565
ISL,2015,52951.6815110898
ISL,2016,61987.9263620283
ISL,2017,72010.1490316258
ISL,2018,74452.1890731447
ISL,2019,68452.23622306
ISL,2020,59023.5663465778
ISL,2021,69325.9078287926
ISR,2011,34433.822610733
ISR,2012,33236.5731239421
ISR,2013,36929.6042163752
ISR,2014,38230.4954049785
ISR,2015,36123.9907881129
ISR,2016,37556.6272863143
ISR,2017,40997.9110240274
ISR,2018,42233.2610344935
ISR,2019,44140.8289372511
ISR,2020,44679.7715799755
ISR,2021,52255.6159050999
ITA,2011,38851.3881339353
ITA,2012,35235.7989058242
ITA,2013,35747.707952689
ITA,2014,35750.7197500382
ITA,2015,30387.1293187854
ITA,2016,31126.3246947273
ITA,2017,32554.14668453
ITA,2018,34746.3441392416
ITA,2019,33812.788724868
ITA,2020,32091.4866621366
ITA,2021,36852.5425414951
JAM,2011,5232.63644918132
JAM,2012,5340.83333232158
JAM,2013,5124.21301411137
JAM,2014,4975.11326954633
JAM,2015,5062.89556466908
JAM,2016,5009.79450059092
JAM,2017,5259.31334136812
JAM,2018,5578.10346083169
JAM,2019,5607.24300668501
JAM,2020,4879.44024631319
JAM,2021,5165.33780988607
JOR,2011,3946.85503855525
JOR,2012,4169.50470054618
JOR,2013,4311.21916713038
JOR,2014,4191.18050084986
JOR,2015,4042.75678097555
JOR,2016,3986.71677010853
JOR,2017,4065.61628749384
JOR,2018,4145.43989673265
JOR,2019,4170.1144003465
JOR,2020,4022.0401356135
JOR,2021,4183.49998326866
JPN,2011,48760.0789494211
JPN,2012,49145.2804308193
JPN,2013,40898.6478964744
JPN,2014,38475.3952461838
JPN,2015,34960.6393843385
JPN,2016,39375.4731620781
JPN,2017,38834.0529341227
JPN,2018,39751.1330982711
JPN,2019,40415.9567649547
JPN,2020,40040.7655055923
JPN,2021,40058.5373276179
KAZ,2011,11287.1464926039
KAZ,2012,12018.7966527993
KAZ,2013,13478.459627612
