country,year,tertiary_enrolment_pct
GRD,2012,
GRD,2013,
GRD,2014,
GRD,2015,92.880126953125
GRD,2016,93.2219009399414
GRD,2017,95.3775787353516
GRD,2018,96.8923263549805
GRD,2019,
GRD,2020,
GRD,2021,
GRL,2011,
GRL,2012,
GRL,2013,
GRL,2014,
GRL,2015,
GRL,2016,
GRL,2017,
GRL,2018,
GRL,2019,
GRL,2020,
GRL,2021,
GTM,2011,16.486270904541
GTM,2012,16.934289932251
GTM,2013,19.6571807861328
GTM,2014,18.3490905761719
GTM,2015,22.0697193145752
GTM,2016,16.1237926483154
GTM,2017,17.1044540405273
GTM,2018,17.5163669586182
GTM,2019,22.6505107879639
GTM,2020,18.6944980621338
GTM,2021,
GUM,2011,
GUM,2012,
GUM,2013,
GUM,2014,
GUM,2015,
GUM,2016,
GUM,2017,
GUM,2018,
GUM,2019,
GUM,2020,
GUM,2021,
GUY,2011,11.1490097045898
GUY,2012,11.6349601745605
GUY,2013,
GUY,2014,
GUY,2015,
GUY,2016,
GUY,2017,
GUY,2018,
GUY,2019,
GUY,2020,
GUY,2021,
HKG,2011,60.2208404541016
HKG,2012,60.9527893066406
HKG,2013,68.0859069824219
HKG,2014,69.6881790161133
HKG,2015,68.7008666992188
HKG,2016,70.3316421508789
HKG,2017,72.9228515625
HKG,2018,78.2463226318359
HKG,2019,83.8542098999023
HKG,2020,89.9478988647461
HKG,2021,97.3813323974609
HND,2011,
HND,2012,18.8540897369385
HND,2013,19.3874206542969
HND,2014,19.6584796905518
HND,2015,20.2654304504395
HND,2016,20.9513092041016
HND,2017,24.4584407806396
HND,2018,26.2141990661621
HND,2019,25.126579284668
HND,2020,22.7773380279541
HND,2021,22.4562759399414
HRV,2011,59.3388595581055
HRV,2012,62.0256614685059
HRV,2013,66.7111129760742
HRV,2014,68.6392517089844
HRV,2015,68.4413986206055
HRV,2016,69.5889511108398
HRV,2017,71.3775863647461
HRV,2018,72.8625411987305
HRV,2019,74.0501174926758
HRV,2020,74.738037109375
HRV,2021,78.0067901611328
HTI,2011,
HTI,2012,
HTI,2013,
HTI,2014,
HTI,2015,
HTI,2016,
HTI,2017,
HTI,2018,
HTI,2019,
HTI,2020,
HTI,2021,
HUN,2011,59.9984893798828
HUN,2012,60.6758003234863
HUN,2013,57.2066802978516
HUN,2014,52.8164901733398
HUN,2015,50.0656509399414
HUN,2016,49.47705078125
HUN,2017,49.910270690918
HUN,2018,50.8998908996582
HUN,2019,52.3610382080078
HUN,2020,54.6020393371582
HUN,2021,56.5250091552734
IDN,2011,25.4599514007568
IDN,2012,29.5658359527588
IDN,2013,30.4385662078857
IDN,2014,30.5253391265869
IDN,2015,33.0326499938965
IDN,2016,35.4757537841797
IDN,2017,36.633861541748
IDN,2018,36.7954559326172
IDN,2019,37.925968170166
IDN,2020,38.6503868103027
IDN,2021,41.0022087097168
IMN,2011,
IMN,2012,
IMN,2013,
IMN,2014,
IMN,2015,
IMN,2016,
IMN,2017,
IMN,2018,
IMN,2019,
IMN,2020,
IMN,2021,
IND,2011,23.8253688812256
IND,2012,24.9402103424072
IND,2013,24.3906383514404
IND,2014,25.991325378418
IND,2015,27.2845668792725
IND,2016,27.3043575286865
IND,2017,27.9090518951416
IND,2018,28.5316867828369
IND,2019,29.0233592987061
IND,2020,29.8196392059326
IND,2021,31.5741767883301
IRL,2011,67.7985916137695
IRL,2012,68.1972503662109
IRL,2013,71.6995468139648
IRL,2014,73.813232421875
IRL,2015,77.2321472167969
IRL,2016,77.5571365356445
IRL,2017,77.7806167602539
IRL,2018,77.2828826904297
IRL,2019,75.1799392700195
IRL,2020,74.6803131103516
IRL,2021,78.7776031494141
IRN,2011,48.5700302124023
IRN,2012,54.0766487121582
IRN,2013,56.620189666748
IRN,2014,64.9739227294922
IRN,2015,72.1212768554688
IRN,2016,69.1833267211914
IRN,2017,68.1274108886719
IRN,2018,62.7104721069336
IRN,2019,59.9513702392578
IRN,2020,57.3403282165527
IRN,2021,55.7980690002441
IRQ,2011,
IRQ,2012,
IRQ,2013,
IRQ,2014,
IRQ,2015,
IRQ,2016,
IRQ,2017,
IRQ,2018,
IRQ,2019,
IRQ,2020,
IRQ,2021,
ISL,2011,79.9194183349609
ISL,2012,79.5824813842773
ISL,2013,78.3723907470703
ISL,2014,80.3950881958008
ISL,2015,75.6419982910156
ISL,2016,74.7006301879883
ISL,2017,71.3372497558594
ISL,2018,69.3402328491211
ISL,2019,70.6093521118164
ISL,2020,74.5906066894531
ISL,2021,86.5232086181641
ISR,2011,61.9456214904785
ISR,2012,63.5912704467773
ISR,2013,62.0624198913574
ISR,2014,62.1056289672852
ISR,2015,60.8227882385254
ISR,2016,60.4474411010742
ISR,2017,59.0658683776855
ISR,2018,57.3934288024902
ISR,2019,55.9445381164551
ISR,2020,56.4272193908691
ISR,2021,58.9942817687988
ITA,2011,64.2492523193359
ITA,2012,62.3447418212891
ITA,2013,60.8925285339355
ITA,2014,60.8831481933594
ITA,2015,60.941291809082
ITA,2016,61.3571014404297
ITA,2017,62.69580078125
ITA,2018,64.4753265380859
ITA,2019,65.6895065307617
ITA,2020,68.7231063842773
ITA,2021,71.2745208740234
JAM,2011,24.957540512085
JAM,2012,27.4642906188965
JAM,2013,25.8244800567627
JAM,2014,
JAM,2015,26.4131107330322
JAM,2016,
JAM,2017,
JAM,2018,
JAM,2019,
JAM,2020,
JAM,2021,
JOR,2011,37.4216384887695
JOR,2012,43.9161491394043
JOR,2013,
JOR,2014,
JOR,2015,36.6284294128418
JOR,2016,34.0612602233887
JOR,2017,28.6210594177246
JOR,2018,31.5562992095947
JOR,2019,30.11083984375
JOR,2020,30.2879695892334
JOR,2021,30.4513092041016
JPN,2011,
JPN,2012,
JPN,2013,62.8381881713867
JPN,2014,62.7269897460938
JPN,2015,62.4726600646973
JPN,2016,63.1872291564941
JPN,2017,62.4629783630371
JPN,2018,62.2089385986328
JPN,2019,62.1184997558594
JPN,2020,62.1358413696289
JPN,2021,63.1702690124512
KAZ,2011,50.9489822387695
KAZ,2012,52.7025604248047
