country,year,age1564_pct
LBN,2019,63.3120025320152
LBN,2020,62.9297413938611
LBN,2021,63.0959048351806
LBR,2011,54.0719374932853
LBR,2012,54.3794613522596
LBR,2013,54.3063418204644
LBR,2014,54.317124873762
LBR,2015,54.4159576566323
LBR,2016,54.550690469021
LBR,2017,54.6785684124387
LBR,2018,54.8464060495971
LBR,2019,55.0727285542488
LBR,2020,55.4018879830879
LBR,2021,55.8111091484588
LBY,2011,65.0988703971795
LBY,2012,64.1079955707154
LBY,2013,64.3027737478901
LBY,2014,64.4401576630384
LBY,2015,64.4962096702152
LBY,2016,64.5940807362587
LBY,2017,64.8017638828572
LBY,2018,65.1208644930479
LBY,2019,65.4919610863566
LBY,2020,65.8907323772578
LBY,2021,66.3183804181397
LCA,2011,69.0019266476912
LCA,2012,69.6201614842412
LCA,2013,70.1543244591722
LCA,2014,70.6497988669938
LCA,2015,71.1336758059398
LCA,2016,71.568951185908
LCA,2017,71.9145183790589
LCA,2018,72.1803555590706
LCA,2019,72.3952572729601
LCA,2020,72.5571597274622
LCA,2021,72.7137271596778
LIE,2011,69.8975723403962
LIE,2012,69.642442376795
LIE,2013,69.3429964779193
LIE,2014,68.979482004709
LIE,2015,68.6617647058824
LIE,2016,68.289246311312
LIE,2017,67.8854968890768
LIE,2018,67.4757727159474
LIE,2019,67.0720603537981
LIE,2020,66.7694172878995
LIE,2021,66.426339514394
LKA,2011,67.0063893423443
LKA,2012,66.8511754056245
LKA,2013,66.6806889722923
LKA,2014,66.492093080501
LKA,2015,66.3165734018565
LKA,2016,66.1761491978432
LKA,2017,66.0772312982869
LKA,2018,66.010996751107
LKA,2019,65.9700520980039
LKA,2020,65.9468366164111
LKA,2021,65.9383621554748
LSO,2011,59.3528132198019
LSO,2012,59.4474561832758
LSO,2013,59.496042798847
LSO,2014,59.4751955324989
LSO,2015,59.4736368208574
LSO,2016,59.5470287107437
LSO,2017,59.7050313370595
LSO,2018,59.926850256205
LSO,2019,60.1484652771979
LSO,2020,60.3689225851194
LSO,2021,60.6177776048378
LTU,2011,67.1777759104206
LTU,2012,67.084553426923
LTU,2013,66.993627044439
LTU,2014,66.8115157399781
LTU,2015,66.5062097265986
LTU,2016,66.0821066606207
LTU,2017,65.5868165853012
LTU,2018,65.2222782837189
LTU,2019,65.0326934181688
LTU,2020,64.9504098074069
LTU,2021,64.9429993871864
LUX,2011,68.6826049396048
LUX,2012,68.9684008305906
LUX,2013,69.0605655434262
LUX,2014,69.1279915294304
LUX,2015,69.2426817619957
LUX,2016,69.4058844296374
LUX,2017,69.5106668868415
LUX,2018,69.5280060384706
LUX,2019,69.5105964077186
LUX,2020,69.440387442376
LUX,2021,69.3493722999841
LVA,2011,67.2837068431312
LVA,2012,66.9611259226785
LVA,2013,66.4975087058683
LVA,2014,65.9121509977439
LVA,2015,65.3585402860759
LVA,2016,64.8189694891939
LVA,2017,64.3170163194162
LVA,2018,63.9690120502929
LVA,2019,63.6525649819278
LVA,2020,63.329999339864
LVA,2021,63.1497512445726
MAC,2011,80.5548679061728
MAC,2012,80.2835326851597
MAC,2013,79.6751694800607
MAC,2014,79.0006291946309
MAC,2015,78.3187796438003
MAC,2016,77.6817068585387
MAC,2017,77.0198799946486
MAC,2018,76.217568445532
MAC,2019,75.2676705803802
MAC,2020,74.3158243011478
MAC,2021,73.557823854194
