Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,14619279988.716,16688114144.0745,17198073057.1981,17978246586.0662,16208985769.615,12069051237.1711,13264640645.7768,15017358952.8452,15512759046.672,14235420174.1884,16168055475.4449
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,59977326085.9908,59937796648.2158,60269732854.827,65531374199.6742,59607290407.5944,63298361996.2153,66053040483.0016,67860515989.517,75065106227.6892,79006113643.1906,66345291160.1683
GDP (current US$),NY.GDP.MKTP.CD,Namibia,NAM,12523359440.5499,13042053591.6857,12043307277.1235,12435430969.6301,11335161083.5061,10722018732.0936,12895153370.9132,13682019076.4022,12541928303.48,10583748541.5258,12402486183.6396
GDP (current US$),NY.GDP.MKTP.CD,Nauru,NRU,65444173.7762725,100794924.670417,94385014.9425842,98752257.0453222,84383388.6448573,97276023.0784346,108862278.516511,130937589.753517,124871111.377973,124530027.301054,175513984.500084
GDP (current US$),NY.GDP.MKTP.CD,Nepal,NPL,21573872420.7008,21703100877.1309,22162204924.5726,22731612922.1906,24360801286.7638,24524109483.5293,28971588940.364,33111525237.149,34186180699.0255,33433659301.2466,36924841394.2605
GDP (current US$),NY.GDP.MKTP.CD,Netherlands,NLD,913140741332.687,845689017065.625,883951539006.669,901556501756.467,775743675302.734,797163949289.885,848233537845.884,929733599796.862,928903005576.469,932560861701.17,1054472123449.6
GDP (current US$),NY.GDP.MKTP.CD,New Caledonia,NCL,10351448004.7674,9659151917.40484,10151382933.1594,10635035594.7528,8738203074.3957,8724568954.89799,9174048681.98577,9896402283.68587,9475655324.59495,9454629467.91408,10071349663.8484
GDP (current US$),NY.GDP.MKTP.CD,New Zealand,NZL,168295307149.46,176210710655.208,190909855416.34,201337554959.49,178104220784.881,188898209220.167,206566916732.292,211846555690.736,212846907683.439,212697530897.56,253644079784.977
GDP (current US$),NY.GDP.MKTP.CD,Nicaragua,NIC,9774320144.00049,10531980451.1847,10982954744.4415,11880433902.9361,12756685550.3389,13286101094.3863,13785924216.2724,13025234820.8225,12699028889.666,12681569254.2815,14144060853.1362
GDP (current US$),NY.GDP.MKTP.CD,Niger,NER,8772950777.79176,9426912647.59111,10224897437.8648,10862943543.5419,9683867926.44282,10398861981.7583,11185104251.6943,12837307496.8821,12889555561.2299,13744653103.058,14915002436.069
GDP (current US$),NY.GDP.MKTP.CD,Nigeria,NGA,414466676831.16,463971018239.281,520117180313.906,574183763411.508,493026682800.63,404649125252.16,375745731053.427,421739251509.08,474517490844.461,432198898467.795,440833635873.827
GDP (current US$),NY.GDP.MKTP.CD,North Macedonia,MKD,10494626767.6445,9745261300.57788,10817702346.0674,11362265252.778,10064519962.5655,10672467073.2873,11307067069.6658,12683068114.2388,12606338448.547,12361036913.8409,14000283827.0154
GDP (current US$),NY.GDP.MKTP.CD,Northern Mariana Islands,MNP,729000000,746000000,772000000,832000000,910000000,1230000000,1560000000,1301000000,1179000000,866000000,914000000
GDP (current US$),NY.GDP.MKTP.CD,Norway,NOR,501360549669.404,512777309840.997,526014468085.106,501736471832.848,388159512245.53,370956547619.048,401745275035.261,439788625883.8,408742840909.091,367633418886.627,503367986030.268
GDP (current US$),NY.GDP.MKTP.CD,Oman,OMN,77497529258.7776,87408842652.7958,89936020806.2419,92699089726.9181,78710793237.9714,75128738621.5865,80856697009.1027,91505851755.5267,88060858257.4772,75909492847.8544,87323797139.1417
GDP (current US$),NY.GDP.MKTP.CD,Pakistan,PAK,230586581059.665,250106966104.704,258657231672.412,271390474857.632,299963590534.773,313630000130.435,339205534861.1,356128166704.921,320909472770.669,300425609817.981,348516647445.148
GDP (current US$),NY.GDP.MKTP.CD,Palau,PLW,198873900,215762400,225345718.75,243156484.375,278824781.25,298323500,285600000,288546281.25,281941562.5,258990843.75,235752906.25
GDP (current US$),NY.GDP.MKTP.CD,Panama,PAN,35687738300,41595439700,46949496500,51427104900,55767806100,59760858700,64327688800,67316471200,69778991200,57059846500,67396392500
GDP (current US$),NY.GDP.MKTP.CD,Papua New Guinea,PNG,17985138065.8549,21295168665.7247,21261338064.8783,23210823987.308,21723437010.0982,20758876952.6232,22742699138.356,24109780708.0268,24750626040.5917,23848447849.7467,26109413522.3081
GDP (current US$),NY.GDP.MKTP.CD,Paraguay,PRY,33756238766.5,33271921136.315,38501122141.4241,40377929295.6419,36211447840.0971,36089700222.9461,38997129473.5558,40225448340.6322,37925338329.1494,35432178068.1814,39950899938.7482
GDP (current US$),NY.GDP.MKTP.CD,Peru,PER,171761737046.585,192650021648.583,201175543571.392,200786250582.943,189802976285.619,191898104390.379,211007984080.911,222597009739.235,228346006003.648,201409694755.934,226354278280.885
GDP (current US$),NY.GDP.MKTP.CD,Philippines,PHL,234216730295.938,261920540972.102,283902828581.65,297483555344.802,306445871246.718,318627003012.52,328480736798.792,346841896583.515,376823402244.928,361751145451.597,394087359848.11
GDP (current US$),NY.GDP.MKTP.CD,Poland,POL,527848543023.469,498148649702.66,518179836405.36,542134167178.627,480054118583.367,473259583969.643,528356676667.211,594616687350.017,602683770144.88,605914237903.742,689170230665.35
GDP (current US$),NY.GDP.MKTP.CD,Portugal,PRT,245426767676.002,216536676771.973,226677408291.745,230078616299.675,199038523119.639,206305431241.638,220862990767.229,242092894542.888,240115970063.019,229618773422.577,256055879091.139
GDP (current US$),NY.GDP.MKTP.CD,Puerto Rico,PRI,100351700000,101564800000,102450000000,102445800000,103375500000,104336700000,103445500000,100958100000,105126400000,103130900000,106426600000
GDP (current US$),NY.GDP.MKTP.CD,Qatar,QAT,167775268626.374,186833502362.637,198727642967.033,206224598571.429,161739955576.923,151732181868.132,161099122225.275,183334953818.681,176371267689.082,144411363345.27,179732009554.846
GDP (current US$),NY.GDP.MKTP.CD,Romania,ROU,192623977894.173,179117323107.087,189798603751.235,199722319675.741,177885131240.315,185290759248.844,210147385855.419,243468683030.34,251677082534.495,252033792712.145,286578196368.297
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,2045922753398.04,2208293553878.42,2292470078346.22,2059241589895.01,1363482182197.71,1276786350881.14,1574199360089,1657328773461.31,1693115002708.32,1493075894362.14,1843392293734.38
GDP (current US$),NY.GDP.MKTP.CD,Rwanda,RWA,6884913658.10632,7654761573.54991,7819963715.75353,8238966063.86692,8543759677.58157,8695272300.91019,9252834336.49492,9637904655.17446,10349300380.33,10174387374.3478,11069280649.6459
GDP (current US$),NY.GDP.MKTP.CD,Samoa,WSM,744097050.169115,773141661.165548,797736334.281305,796683519.593842,824150498.653536,843924796.697421,884844384.463214,878448433.404342,912950466.064906,868898358.266437,843923638.733018
GDP (current US$),NY.GDP.MKTP.CD,San Marino,SMR,1813717438.69134,1604701299.43546,1678741475.14095,1673911426.17254,1419401070.56043,1468343139.74326,1528620346.31168,1655353653.05934,1616232125.12587,1544714493.24409,1855395999.76534
GDP (current US$),NY.GDP.MKTP.CD,Sao Tome and Principe,STP,226455001.243083,229371348.202606,267041747.584354,293119143.246825,259999643.047388,292267272.196925,322002845.229335,383717327.830508,412976082.620705,471229484.607144,524402455.54816
GDP (current US$),NY.GDP.MKTP.CD,Saudi Arabia,SAU,676634666666.667,741849866666.667,753864533333.333,766605866666.667,669484266666.667,666000000000,714994666666.667,846583733333.333,838564800000,734271200000,874156000000
GDP (current US$),NY.GDP.MKTP.CD,Senegal,SEN,17814283639.3119,17660870411.5235,18918667724.8817,19797253440.2679,17774766696.1759,19040312333.1864,20996562943.5979,23116701556.1381,23403995992.1354,24530513037.7518,27520784129.7508
GDP (current US$),NY.GDP.MKTP.CD,Serbia,SRB,51251098408.0924,45103269969.4112,50455529604.0696,49114321280.3466,41297410634.9586,42225495909.5633,45972834713.8077,52787520248.9242,53864693664.5568,55874017668.998,66159884072.5308
GDP (current US$),NY.GDP.MKTP.CD,Seychelles,SYC,1058918707.26124,1089407839.19709,1333160407.38516,1387577870.08161,1432403352.12944,1568513348.14463,1675370641.01416,1784313926.76807,1868690096.73454,1382551751.56908,1487173794.80528
GDP (current US$),NY.GDP.MKTP.CD,Sierra Leone,SLE,4587078913.13315,5927684219.15278,7697098118.19922,7845456215.27807,6651626733.64854,6042615859.61074,5818480351.63706,6390514688.52816,6523577590.38319,6688594757.62129,7165214367.64956
GDP (current US$),NY.GDP.MKTP.CD,Singapore,SGP,279356499090.458,295092888076.589,307576360584.992,314863580758.455,307998545269.398,319053943915.005,343257164581.712,376892697588.005,376901649222.451,349488382610.662,434111559282.849
