Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Cayman Islands,CYM,76.3543830307608,76.2485670030016,76.2100417696701,76.1911885705737,76.1787727622987,76.175307644155,76.1518853964097,76.1064899416899,76.0682935523638,76.0812119182639,75.8905965838177
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Central African Republic,CAF,51.8182444485749,51.1986515278751,50.5153670963349,49.6389607850178,49.0395620696385,48.9686631215826,48.87737285649,48.7904355645416,48.7913178211798,48.887967352272,48.7749163748753
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Chad,TCD,49.0667735946939,49.159389775095,49.2853284505433,49.4190350426222,49.4139321327334,49.4357231441935,49.5536991897526,49.7052074391838,49.8294508859726,49.9863654933715,50.2705463880168
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Channel Islands,CHI,68.6474877353145,68.1981743822601,67.7931109085009,67.4813260286432,67.2205414962574,66.9792899769346,66.7014566134877,66.4673127229849,66.3239555662883,66.1901338763381,66.1007190792906
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Chile,CHL,68.6502919535999,68.7794974165082,68.8419518588406,68.8459541557848,68.8110909659556,68.7957087507807,68.8509010584832,68.9280916071827,68.97100513477,68.9603700944275,68.9469814817118
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,China,CHN,72.7988185445213,72.6134379386083,72.3383307205597,72.0051656801854,71.6284345359877,71.2044525051679,70.6659121055216,70.1553162360731,69.74115264804,69.3999249325134,69.2124049434275
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Colombia,COL,67.0813686126444,67.4426133978595,67.7967037079735,68.1178419736866,68.40138641436,68.6955683932159,69.041951439359,69.4027046556989,69.6869318607033,69.8711687670931,69.9880002555668
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Comoros,COM,54.7959302812938,55.3455359546499,55.684957824165,55.8210266302648,55.9251502032526,56.046719811902,56.3103838597961,56.6662994595575,56.9788374452375,57.2645102899845,57.5402924437269
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,"Congo, Dem. Rep.",COD,50.8868579478009,50.9083464819355,50.9022746520143,50.8944789553473,50.8833816366305,50.9689468041245,51.0731408298973,51.0356303771569,50.9289970562073,50.8613314066326,50.832061912679
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,"Congo, Rep.",COG,56.6438901765051,56.352160659853,55.9893261389154,55.6797792551267,55.4321113712672,55.2790445101767,55.2299836423435,55.2471969415942,55.3301240719353,55.4746344404511,55.658794032704
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Costa Rica,CRI,68.0458814885485,68.2454627622799,68.4238638023794,68.5844636980952,68.7112504393645,68.8045144876282,68.8412507833526,68.8109769257363,68.7652107333185,68.778633459931,68.8374526616913
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Cote d'Ivoire,CIV,54.3529774247885,54.8848348311622,55.3222585566853,55.4196918298969,55.2565346841825,55.1553133893468,55.1091077307627,55.1358501698895,55.2137233737626,55.3233038967629,55.5125937101364
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Croatia,HRV,66.9100271349628,66.8433180453821,66.7137862494026,66.4871658325589,66.146261641978,65.7635720154282,65.2937585801138,64.7650804945653,64.2827891136582,63.8820518579105,63.519292362808
