country,year,gdp_pc_usd,manufacturing_pct_gdp,resource_rents_pct_gdp,tertiary_enrolment_pct,gii_score,population_density,age1564_pct,log_gdp
RWA,2020,10174387374.3478,8.73625657811809,778.701538550324,7.56710004806519,25.06,529.624523713012,57.3677254660379,23.043139357553134
RWA,2021,11069280649.6459,9.23966672098635,828.833032800998,7.35958433151245,23.9,541.35630320227,57.7540684344595,23.127439599590396
SAU,2011,676634666666.667,9.93355350794914,26966.2941648251,28.9419498443604,36.44,11.6723187994548,70.7168832641369,27.240397328555503
SAU,2012,741849866666.667,9.7269276766512,28348.5730107499,36.0444107055664,39.3,12.1733184784783,71.3417737515747,27.332412723612347
SAU,2013,753864533333.333,9.89981577592013,27290.1978052614,43.163501739502,41.21,12.8502267768841,71.8696842780143,27.348478524798708
SAU,2014,766605866666.667,10.8317807464383,27079.6733871148,51.2110710144043,41.61,13.1690025073383,72.3162048199076,27.365238642702963
SAU,2015,669484266666.667,12.8336399043084,22453.571552265,56.5505714416504,40.65,13.8700845238151,72.7032579683734,27.229773501677034
SAU,2016,666000000000.0,13.1982782782783,21515.6600083775,64.6551132202148,37.75,14.399377584675,72.8708364725954,27.2245555074868
SAU,2017,714994666666.667,13.2936376215394,23081.2045336558,72.4816665649414,36.17,14.4101498355577,72.5539157080724,27.29554092040514
SAU,2018,846583733333.333,12.569546182319,28036.0264674095,74.5258178710938,34.27,14.0468072140634,71.9567949680951,27.464474950737294
SAU,2019,838564800000.0,12.4891163250989,27892.8421521179,79.6130676269531,32.93,13.9851787932213,71.7987360634578,27.45495769608234
SAU,2020,734271200000.0,12.6378736721073,23271.4037647084,74.7805709838867,30.94,14.6777023663877,71.9864782936657,27.322144279607983
SAU,2021,874156000000.0,13.2071926139804,28396.0864182336,74.3924865722656,31.8,14.320382473752,72.1749607532303,27.49652468637707
SEN,2011,17814283639.3119,17.2457486401925,1374.67591873844,10.0053596496582,27.56,67.3084558250662,53.7310989404075,23.603266424099
SEN,2012,17660870411.5235,16.9951058363143,1326.83798848379,10.1298198699951,28.8,69.1346543395834,53.7078017649908,23.594617318083387
SEN,2013,18918667724.8817,17.3800241394178,1379.83196553924,10.4236698150635,30.48,71.2140913104451,53.7401403808036,23.663414981858335
SEN,2014,19797253440.2679,16.9974155601834,1398.89137601382,10.8330898284912,30.06,73.5059575131148,53.8844213348809,23.70880904988708
SEN,2015,17774766696.1759,17.0529991959005,1218.00613555438,10.9290800094604,30.95,75.7976990598868,54.1120274086851,23.601045687158628
SEN,2016,19040312333.1864,16.4126562605797,1266.43957151587,11.130820274353,26.14,78.0892380408248,54.3968395932547,23.669824270228993
SEN,2017,20996562943.5979,15.8053087502448,1356.80518449031,11.7735300064087,27.11,80.3770944787825,54.7454841926833,23.767624591922065
SEN,2018,23116701556.1381,15.5256232627653,1452.55612562445,13.0590801239014,26.53,82.6598348309354,55.161731926394,23.863821204315787
SEN,2019,23403995992.1354,14.8921153803941,1431.18128932159,13.3833703994751,26.83,84.9370072196541,55.629971072753,23.876172613625393
SEN,2020,24530513037.7518,14.6422445114601,1461.08720350553,14.2285404205322,23.75,87.2031319794318,56.1414662545808,23.923183609704655
SEN,2021,27520784129.7508,15.0896077803993,1598.10676952274,15.7343301773071,23.3,89.4451098530099,56.694618125052,24.03820734269251
