country,manufacturing_pct_gdp,resource_rents_pct_gdp,tertiary_enrolment_pct,gii_score,population_density,age1564_pct,cluster_label
LUX,4.945104712238905,116179.38294900827,19.80148625373841,54.92272727272727,225.83235460499046,69.25701437364326,1
LVA,11.358406306694228,15506.311793621846,81.21976887096059,43.52909090909091,31.564085064913083,65.02275874370592,0
MAR,14.846840082022482,3357.1552956321043,30.39378946477717,31.065454545454543,78.40770069052614,66.03667905337792,0
MDA,10.201076698549656,3623.5679589483375,54.276456832885735,37.61181818181819,96.33053030205723,68.99545390960846,0
MDG,9.239173869760409,486.6429887250362,4.828579998016357,23.768181818181816,44.97529950550269,55.38173608810167,2
MEX,19.4366728906604,10217.71976558354,36.84731362082741,34.915454545454544,62.744653224807045,65.61553016415887,0
MKD,12.062557843255496,6049.823425400018,42.08850351969401,35.124545454545455,75.27735202941386,67.99117445853959,0
MLI,14.66916823432273,782.885476279466,5.151439852184719,24.39909090909091,15.803513983291726,49.7200414087516,2
MLT,7.540734940852273,29330.10282225823,53.024044036865234,50.263999999999996,1459.8503125,67.79055243227435,1
MNE,3.93357720954195,7742.048848373434,59.84974060058594,37.97,46.20985130111524,66.32632392549294,0
MNG,7.420045534021527,4055.469110626237,65.04373931884764,35.52454545454545,1.981255159959087,65.67265547311784,0
MOZ,8.316375664984381,560.12676908658,6.697926878929138,25.011000000000003,35.43115465805335,51.72071238512366,2
MUS,12.395489943389173,10005.57174235429,40.160608465021305,35.99909090909091,632.0318659807895,72.20602625518633,0
MWI,11.63809662710638,560.7193583509833,0.851849973201752,25.14090909090909,186.65481255062298,52.200579557118765,2
MYS,22.42198755295938,10383.184218799437,41.47654446688564,44.06272727272727,96.7327289329146,68.57312452673806,0
NAM,11.613446796727475,5013.46297363683,23.601630074637285,27.88090909090909,2.9806268419721746,59.69569997993177,2
NER,7.556367554760274,545.0318502631814,3.239392185211182,20.497272727272726,16.375057235335916,48.691361616970624,2
NGA,9.887252255005741,2355.052350679219,11.181015332539866,23.85727272727273,214.3886842002822,53.1855472926585,2
NIC,14.266945744367957,1917.5672252079457,16.964277948651986,24.875714285714285,50.61422991998859,62.854605537740404,2
NLD,10.250682709729034,52224.64950484492,81.61487579345702,60.35363636363636,506.79176627019575,65.6130516709295,1
NOR,6.529716606003683,86096.70687024022,81.2812069979581,53.03363636363636,14.28099568846042,65.56006793921485,1
NPL,5.13765554583415,998.9318918791585,13.788371509975843,23.904,196.3885364492503,62.12550554569019,2
NZL,10.20435184747983,42266.15050916485,80.04411315917969,52.52181818181818,17.94259100058349,65.55434583583232,1
OMN,8.967971834133083,20496.164879908054,42.58231544494627,32.804545454545455,13.448502863856664,73.94477598271718,0
PAK,12.382501221844354,1349.6377600922654,9.450317772951985,23.89727272727273,286.5278963357107,57.60640308280401,2
PAN,5.986863594926169,13841.170111724805,46.529681614467066,32.54363636363636,54.275726353493376,64.98327924471916,0
PER,13.589689222275053,6541.398368267214,72.28837203979495,32.73909090909091,24.27402528409091,64.70216060492203,0
PHL,19.633997623443918,2987.372087147922,34.0212201205167,32.056363636363635,356.6873626088839,63.14860303404556,0
POL,16.786150853611726,14546.3607063655,71.758637861772,40.39818181818182,123.794212047087,68.76154491346234,0
PRT,11.984496900116845,22015.540529361457,65.7039816720145,45.055454545454545,113.27931996645044,64.84390579046573,0
QAT,9.001527920911741,78736.80469542198,18.016156196594235,38.332727272727276,199.753972681661,84.4744711729168,1
ROU,19.683513847766502,10972.090480529883,53.38144475763493,37.654545454545456,85.5194469109486,66.57050988332229,0
RUS,12.134559775078365,12144.848011363636,77.50116833773527,37.67454545454546,8.827484605921756,69.11991359643113,0
RWA,7.770203779046178,745.3646329634047,7.053895950317383,27.363636363636363,483.8714375207283,56.24069971957578,2
SAU,11.874669300417315,25848.321205883534,59.66911159862172,36.64272727272727,13.597686304875246,72.02632057646578,0
SEN,16.185349937986526,1387.674502573651,11.966426415876901,27.41,78.1520249500668,54.722327363135065,2
SGP,18.952113477368563,61060.8578887367,89.82383473714192,59.23727272727273,7746.801598970355,77.69443632748286,1
SLV,15.8443435043955,3902.9148545092107,28.150979128750883,27.403636363636362,298.51037644787647,64.45179360415783,0
SRB,16.993660332063627,7156.171256113636,62.354236949573874,36.01181818181818,81.20345229855663,66.19357498844293,0
SVK,17.825703950373818,18604.264399601627,51.87220521406693,41.594545454545454,112.94793547600126,69.68422052317088,0
SVN,19.8213465904853,24214.785969319524,81.92915621670808,46.26454545454545,102.91459783174128,66.67301278539479,0
SWE,13.495187364841764,55878.22523818214,71.83191750266334,62.96909090909091,24.387909414260672,63.01798998042192,1
SWZ,30.308696361649243,3940.92571165975,6.470560073852536,27.964,65.7069534883721,59.185380605260875,2
TGO,13.543005990752741,823.150332634008,12.244747797648111,19.174,146.5475216032359,55.88261426616627,2
THA,27.15648626318982,6327.558227601257,47.7847469329834,37.64818181818182,138.32060913308135,71.35717825856572,0
TJK,11.65267526053741,900.6591233339851,28.408835305107957,26.267272727272726,63.8172964736098,60.498738360019686,2
TUN,14.541688636700345,3965.3984375700384,32.73892437327993,33.00727272727273,74.0544196470368,67.93800480535681,0
TUR,17.732356069967427,10694.481525713127,98.65409122813843,36.88636363636363,103.0077906384769,68.2168166362201,0
TZA,8.471403843065856,987.7891734730122,4.304652759007045,26.35636363636364,61.01237484349022,52.810425428230886,2
UGA,16.615881707517772,824.4376004818928,4.3903792699178075,26.14,195.34034147579948,50.73100357848571,2
UKR,11.470308203078837,3346.7905939275593,81.10148481889206,36.43454545454545,78.55350703856737,69.28862149362386,0
URY,11.307647224007862,17510.313139978472,60.59779565984554,34.38636363636363,19.26379218998349,64.3603122632881,0
USA,11.311245357468682,59151.72258744081,87.98397488064235,60.08818181818182,35.25668099957047,66.32003673157482,1
UZB,14.374382245714385,2414.046523906003,11.570370197296148,25.133333333333336,71.40435158750637,66.30618331086673,0
VNM,21.878444540851255,2837.466119925262,30.253942728042613,36.66181818181818,299.5786890988125,69.04572443801698,0
ZAF,12.39538114242689,6833.1932537375,20.7495134527033,35.64636363636364,47.13249342962637,66.30309530438453,0
ZMB,7.343655228481274,1425.749389268736,3.99682998657227,22.71090909090909,22.813301105867573,53.508628182235455,2
