country,year,gdp_pc_usd,manufacturing_pct_gdp,resource_rents_pct_gdp,tertiary_enrolment_pct,gii_score,population_density,age1564_pct
ARE,2015,370275469560.166,9.1758933520037,43534.9972681733,,40.06,119.75833568009,81.6642098864586
ARE,2016,369255326235.771,9.32746091059342,41326.4018161834,,39.35,125.8109687412,81.7037621944191
ARE,2017,390516804016.501,9.38138082343735,42340.5917145576,,43.24,129.867994931005,81.7573549214794
ARE,2018,427049432149.345,8.92578979482029,45689.8570040215,,42.58,131.606603773585,81.7897488678028
ARE,2019,417989721734.494,8.86735310804829,44251.4541390148,56.5684204101562,42.17,133.001760067587,81.8226037478217
ARE,2020,349473015336.939,10.2917800360059,37173.8754100281,55.7540512084961,41.79,132.371698113208,81.8563407363944
ARE,2021,415178792769.884,10.0017515004787,43360.0211014806,,43,134.823317375387,81.87240475274
ARG,2011,530158122010.442,15.8506983942663,12704.2831819684,77.4296112060547,35.36,15.2485886234831,63.9901889403356
ARG,2012,545982375701.128,15.2168009115954,12949.717486654,78.4559097290039,34.4,15.4061004351973,64.0423079024418
ARG,2013,552025140252.246,15.0110542553443,12963.675773326,78.7686614990234,37.66,15.5598387102668,64.0825562537135
ARG,2014,526319673731.638,14.7727785491821,12233.1444119186,81.1694107055664,35.13,15.7212073709481,64.0920281103568
ARG,2015,594749285413.212,14.1815854549835,13679.6264980954,83.762580871582,34.3,15.8867142423877,64.0810849650845
ARG,2016,557532320662.955,13.4880259708051,12699.9623137756,86.6178817749023,30.24,16.0413905118958,64.0835958950498
ARG,2017,643628393281.364,12.8351683415363,14532.5009308511,89.2329406738281,32,16.1833799224611,64.1137437299744
ARG,2018,524819892360.176,14.0601434041581,11752.7998922979,90.9728317260742,30.65,16.3171137395905,64.1630568429568
ARG,2019,447754683615.225,13.5408390702829,9955.97478680428,95.0775527954102,31.95,16.4335255363231,64.2701694847154
ARG,2020,385740508436.965,14.5905295089183,8535.59938004389,99.266227722168,28.33,16.5133665121004,64.5074745533578
ARG,2021,486564085480.036,15.558416982668,10738.0179223384,107.130661010742,29.8,16.5573305708721,64.8426321239199
ARM,2011,10142111824.5835,,3349.55309771906,47.8231010437012,33,106.354056902002,69.9991499247162
ARM,2012,10619320682.9474,9.42475853227752,3511.56399687426,41.4842185974121,34.5,106.220583069898,69.877939557455
ARM,2013,11121464437.0415,9.68257531952384,3680.16692158886,41.6240310668945,37.59,106.146821215314,69.6400159040937
ARM,2014,11609513246.7958,9.66640553649803,3852.11800610384,44.411018371582,36.06,105.858798735511,69.3383433330299
ARM,2015,10553337518.414,9.20617105938632,3512.39350276709,45.4674301147461,37.31,105.535651563049,68.961951131008
ARM,2016,10546136235.5219,10.2846499812967,3524.42476874707,51.7460098266602,35.14,105.103617843344,68.5339571072627
ARM,2017,11527458709.0158,10.631126108104,3869.05373867752,53.5907592773438,35.65,104.650509308044,68.1111272919884
ARM,2018,12457940694.7395,11.2719184358436,4196.00562301769,56.1650505065918,32.81,104.285212504391,67.836738214504
ARM,2019,13619290539.2116,11.7114918602964,4597.22887399548,53.3068199157715,33.98,104.056902002107,67.6540902691366
ARM,2020,12641698583.2152,12.344909801717,4268.68093304583,53.3061294555664,32.64,104.021777309449,67.4875319646095
ARM,2021,13878908628.9378,11.0315905634186,4685.17997128509,58.7563095092773,31.4,104.049877063576,67.3509680096337
AUS,2011,1398610616772.97,7.36479765734101,62605.600458306,,49.85,2.90798641031983,67.2186509873875
AUS,2012,1547532281116.4,7.0463332040636,68072.8732340801,,51.9,2.95920036968095,66.9662425056812
AUS,2013,1577123329410.88,6.60397548643017,68190.7010035651,,53.07,3.01057352615753,66.700299430582
AUS,2014,1468265356427.76,6.36290253499428,62544.0873773726,,55.01,3.05581479504836,66.4491289382527
AUS,2015,1351296372254.31,6.29227941742372,56739.0265346593,119.679389953613,55.22,3.10011259648803,66.1974159681463
AUS,2016,1206836962281.84,6.07824048774544,49888.0410842736,119.682777404785,53.07,3.14493553058884,65.9615614705209
AUS,2017,1325582658156.54,5.79305950257587,53901.7145392154,109.993309020996,51.83,3.19715601363491,65.7711179415292
AUS,2018,1427809041019.44,5.76468001596052,57196.4220783778,103.322090148926,51.98,3.24534491589985,65.5972081360588
AUS,2019,1392723834562.64,5.58629582518324,54972.7017885437,109.759559631348,50.34,3.29365056253104,65.3937724215717
AUS,2020,1328414058378.38,5.60852173149521,51791.540179984,110.139221191406,48.35,3.33452695130798,65.1015714818381
AUS,2021,1556735770437.26,5.51269475535305,60607.7788605166,112.688293457031,48.3,3.33922844714392,64.8273784315574
AUT,2011,428954737064.057,17.1446473129533,51116.8953522042,77.2625122070312,50.75,101.692232186137,67.6180439804748
AUT,2012,406750487603.59,17.2564830895639,48250.4059142637,79.5471267700195,53.1,102.156943771207,67.5601644337772
AUT,2013,426580502769.417,17.1063898788247,50305.3545774973,80.9616012573242,51.87,102.760821619001,67.4266821192924
AUT,2014,438556021078.034,17.1867790689422,51314.9722616322,81.0195693969727,53.41,103.567086766844,67.3108310981136
AUT,2015,379546097300.633,17.242928730216,43915.228020857,82.2563095092773,54.07,104.734597673291,67.234719049435
AUT,2016,393687359770.273,17.6682251530651,45061.4993920192,82.8496932983398,52.65,105.873339796413,67.1339749165576
AUT,2017,414926138132.691,17.4427051605451,47163.7425775142,83.8392562866211,53.1,106.61131846825,66.974326831199
AUT,2018,452582294972.775,17.3211161045372,51194.0749841299,85.8698883056641,51.32,107.131858943286,66.8074529749847
AUT,2019,442983642371.842,17.1022858668807,49885.9947355204,86.3234329223633,50.94,107.609306834707,66.6368554183168
AUT,2020,434397601557.696,16.5973264696294,48716.4098900349,88.7071990966797,50.13,108.057004362579,66.4370522356064
AUT,2021,480467037338.783,16.9780965394204,53648.7190742245,93.940071105957,50.9,108.528805138148,66.1764816581673
AZE,2011,65952796427.9473,3.98832610114819,7189.81869211976,19.647310256958,29.17,110.976336228798,72.0939429460413
AZE,2012,69679944504.1972,4.24121862424352,7495.86527658099,20.4384593963623,30.4,112.460790244138,72.0406993018106
AZE,2013,74160560123.6902,4.21573682582242,7875.34536661549,21.4404296875,28.99,113.923480806688,71.6592530898028
AZE,2014,75239785452.1022,4.70701069744349,7890.84028062087,23.1597309112549,29.6,115.348813858679,71.2018299395149
AZE,2015,53076235354.746,4.99062155204119,5500.50364628486,25.4832000732422,30.1,116.731076781631,70.7521032313631
AZE,2016,37866996882.9157,4.89266067799527,3880.6852276838,27.2368602752686,29.64,118.033288980283,70.2891585164324
AZE,2017,40866627351.9817,4.69946458376577,4147.1981423222,28.4670600891113,30.58,119.208741622511,69.9448498293551
AZE,2018,47112470051.7701,4.61981221595166,4739.7943123408,28.9724903106689,30.2,120.25759188908,69.8692138262529
AZE,2019,48174235294.1176,5.00365096304835,4805.75371765917,32.9221801757812,30.21,121.280071139933,69.825581884135
AZE,2020,42693000000,6.10156507265966,4229.91064904503,36.3854713439941,27.23,122.124736829369,69.7266672756005
AZE,2021,54825411764.7059,6.41909290668132,5408.04535175023,39.0096015930176,28.4,122.658802177858,69.708000115884
BDI,2011,2235820809.32006,9.31899301444849,230.070577369084,,,378.425934579439,52.3536120374012
BDI,2012,2333341334.45753,8.83056773934016,231.688496393569,3.84211850166321,20.5,392.173987538941,52.0409461695939
BDI,2013,2451606632.29246,9.54581996033544,234.843045388828,4.62864255905151,,406.516394080997,51.7106229076444
BDI,2014,2705783329.80483,10.1242098337419,250.540481111877,3.86162900924683,22.43,420.552375389408,51.3816362371271
BDI,2015,3104003546.26497,8.67655378836353,280.966831311923,5.39195775985718,21.04,430.201713395639,50.7329704786026
BDI,2016,2644487776.50077,9.36171645020186,235.286205393908,4.09006786346436,20.93,437.673325545171,50.0141465984415
BDI,2017,2723586962.84034,,236.694472592753,4.43720865249634,21.31,448.082632398754,49.7345082830426
BDI,2018,2667182199.51333,,224.89939239264,4.69854831695557,,461.816433021807,49.8778863700716
BDI,2019,2576518879.82353,,210.236494521532,4.20048999786377,17.65,477.232710280374,50.2513129688442
BDI,2020,2649680261.44299,,210.008139902508,5.22371053695679,,491.317601246106,50.6081895938159
BDI,2021,2775798697.46022,,214.091455416133,6.28677225112915,,504.886331775701,51.0189922371954
BEL,2011,527196649048.639,12.9499394580106,47760.8298776546,67.7034072875977,49.05,363.902812118814,65.771386607117
BEL,2012,498414364944.961,12.6215764552248,44874.1709182123,69.7490615844727,54.3,366.166617215574,65.5288562215249
BEL,2013,524097026598.55,12.6643780300003,46964.5946777056,71.7841110229492,52.49,367.896581281113,65.2910824069226
BEL,2014,537987419164.351,12.5837894914118,47995.7786961339,74.0397262573242,51.69,369.533412455082,65.0395058250497
BEL,2015,461044767544.531,12.5677314710087,40893.804537772,76.423942565918,50.91,371.680875614018,64.8430252778753
BEL,2016,474271566739.729,12.2484083375363,41854.5498296444,77.2435073852539,51.97,373.567467774371,64.6607620134318
BEL,2017,500908767351.53,12.4458285747277,44035.3239358548,80.7738189697266,49.85,375.009329772855,64.4426328280277
BEL,2018,542638913427.921,12.343919956787,47487.2100392561,79.1237487792969,50.5,374.74351490506,64.2447525310394
BEL,2019,536726344405.489,12.413251241175,46716.6227467964,79.3044815063477,50.18,376.761985964452,64.0794211416653
BEL,2020,529694473501.791,12.0120090332978,45906.2875805246,79.4996032714844,49.13,378.38932248967,63.9755896544114
BEL,2021,598494036474.409,10.7453176059912,51655.7883303715,82.6882019042969,49.2,379.949990161999,63.8651840723626
BEN,2011,10693321370.036,11.7335701368448,1059.41358915783,12.2822198867798,23.81,89.5142160340546,53.1738379185632
BEN,2012,11141358105.9853,10.7121556949179,1071.52583567484,13.3533802032471,24.4,92.2105090457609,53.2872357685967
BEN,2013,12517845127.6775,10.9217698965752,1168.92699314206,15.3102397918701,25.1,94.9701489890032,53.3802257734234
BEN,2014,13284527850.2632,10.3866281769808,1204.39918700511,15.196590423584,24.21,97.8184107839659,53.4710165776466
BEN,2015,11388160997.1089,10.0356700779199,1002.41886882564,12.9073896408081,,100.750984391628,53.5644826221245
BEN,2016,11821065852.1271,9.93126564010032,1010.53389609187,12.3617095947266,22.25,103.741060659808,53.6566169066319
BEN,2017,12701655845.9612,9.62006825024772,1054.97408141687,11.7388401031494,23.04,106.773501241575,53.7641385473821
BEN,2018,14262408079.7014,9.16246199522064,1151.74096952152,12.0070600509644,20.61,109.820388435615,53.9063205647746
BEN,2019,14391686309.033,9.86572844000364,1130.82135304977,10.7973299026489,20.42,112.865865555161,54.0897463650396
BEN,2020,15651545208.8783,9.68791310326743,1197.50136428063,10.8024797439575,18.13,115.911395885066,54.3068570880759
BEN,2021,17690083519.9323,9.47976782659619,1318.83497843483,10.2315101623535,18,118.955454061724,54.5541005696013
BFA,2011,12080295977.5632,11.6121572602355,725.024767725475,3.94350004196167,23.14,60.8987865497076,51.6697037338101
BFA,2012,12561015156.5683,10.3423290173696,731.470138867833,4.3672399520874,24.6,62.764206871345,51.6719555176314
BFA,2013,13444300485.8412,10.1697715451051,759.762065168498,4.60237979888916,27.03,64.6762024853801,51.7114608653578
BFA,2014,13943016076.7436,10.9960425440905,764.861675106225,4.92263984680176,28.18,66.6281469298246,51.7927902530963
BFA,2015,11832159315.6298,11.6602964471487,630.124750752312,4.9262900352478,28.68,68.6311659356725,51.9206377296387
BFA,2016,12833363045.3367,11.120438157279,663.742364842886,5.42630004882812,21.05,70.6683333333333,52.0971154917605
BFA,2017,14106955615.3442,10.2588368462682,709.091535894695,5.85665988922119,21.86,72.713475877193,52.3179781131451
BFA,2018,15890066221.2882,10.5252036549404,777.465618514048,6.34666013717651,18.95,74.7013450292398,52.5907037810603
BFA,2019,16032813503.3707,10.4105983913211,764.853077774946,6.93696022033691,23.3,76.6153216374269,52.9380433430521
BFA,2020,17725010532.5268,10.0313185254464,825.237038782475,7.6837100982666,20,78.5039839181287,53.3844208698114
BFA,2021,19697516284.3787,9.8115542260696,895.535288442991,9.36093997955322,20.5,80.3919700292398,53.904178280731
BGD,2011,128607482310.357,15.9967342498947,837.336944695647,13.5724172592163,28.05,1179.92683413997,62.0740346987153
BGD,2012,133310747603.483,15.9142206710142,859.680536375497,13.667537689209,26.1,1191.28909118845,62.4844425603217
BGD,2013,149998957434.186,16.4420194729911,958.262989798283,13.6510944366455,24.52,1202.52086502266,62.9494570158261
BGD,2014,172886611653.786,16.6127076619157,1094.46199702838,13.6534414291382,24.35,1213.52791733886,63.4371252223876
BGD,2015,195146608978.131,16.7886735625088,1224.38647668165,15.5907163619995,23.71,1224.42328493508,63.9150578117155
BGD,2016,265224515675.034,20.3479480962979,1649.28380858601,17.4021797180176,22.86,1235.3993393255,64.3617117778247
BGD,2017,293732446624.596,20.0750615064997,1811.08221668646,18.5305080413818,23.72,1245.95641852962,64.6648001467869
BGD,2018,321362752441.78,20.8022959266315,1965.24372731467,19.70263671875,23.06,1256.22726434662,64.7973177686173
BGD,2019,351231654603.692,21.2079438820896,2129.79896954606,22.8052139282227,23.31,1266.90523930245,64.8612797816401
BGD,2020,373979442362.193,20.5983315908994,2248.85078828233,22.538854598999,20.39,1277.54493354844,64.9064095313604
BGD,2021,416271647911.014,21.2356729879977,2482.84917843357,23.40016746521,20.2,1287.99918568026,64.9516858651805
BGR,2011,57737040780.0157,,7857.16706984441,59.8246803283691,38.42,67.6890935887988,67.9655488971921
BGR,2012,54288135058.7926,,7430.7373804242,62.1616516113281,40.7,67.2981577008106,67.4917027281691
BGR,2013,55852123989.9504,,7687.71368243317,68.2013397216797,41.33,66.922577376566,66.9753508090845
BGR,2014,57157782909.9307,,7912.27484371138,72.981559753418,40.74,66.5432756079587,66.4196171095264
BGR,2015,50811995688.6771,,7078.86032298969,78.2999572753906,42.16,66.1200350036846,65.8828672924077
BGR,2016,53964253211.84,,7570.93165511708,80.6399612426758,41.42,65.6579034635225,65.3990271954816
BGR,2017,59309748166.1179,,8381.88134621669,81.2245864868164,42.84,65.1800571112749,64.9588436261308
BGR,2018,66289266348.6504,,9436.14479876055,83.134880065918,42.65,64.7110998526161,64.5280031853111
BGR,2019,68631726289.2794,,9838.60058985384,84.7503128051758,40.35,64.2571941783346,64.1335371141353
BGR,2020,70716821234.5967,,10198.5388313404,85.5331115722656,39.98,63.8726510685335,63.8814581406739
BGR,2021,84417951260.8091,,12274.0775950496,85.3017501831055,42.4,63.3543017686072,63.8135029889597
BHR,2011,29914680851.0638,15.0474932254141,25032.7867743333,46.54248046875,37.8,1558.0443285528,77.3876548816303
BHR,2012,31963404255.3191,14.7645578720345,26438.6733230428,47.3633117675781,41.1,1570.08311688312,77.8244401271723
BHR,2013,33823324468.0851,14.6994276422304,26989.7601148469,42.9303894042969,36.13,1627.52077922078,77.7848127947515
BHR,2014,34772526595.7447,14.8385364760484,26451.7965647453,44.1516189575195,36.26,1705.00907911803,77.0440675538981
BHR,2015,32523297872.3404,17.1732865801602,23734.0551143019,43.6383781433105,37.67,1761.33933161954,76.9024568320374
BHR,2016,33884680851.0638,17.8416468874405,23800.001440631,43.6653099060059,35.48,1827.63286264442,77.3742239109572
BHR,2017,37204813829.7872,18.1844891096654,24784.7693514607,45.1864395141602,34.67,1924.50769230769,77.608595170699
BHR,2018,39567978723.4043,17.1706919683066,26324.4066549559,48.5386581420898,31.73,1931.99357326478,77.3842993458645
BHR,2019,40446808510.6383,17.0407022619674,27259.7438599327,53.6918601989746,31.1,1902.25128205128,76.895078686694
BHR,2020,35837632978.7234,18.0468944226138,24342.8444554718,56.6339988708496,28.37,1875.41910828025,76.8265235048484
BHR,2021,40840212765.9574,20.528955608,27147.8083882286,70.7630310058594,28.8,1904.25949367089,77.2446859974956
BIH,2011,18644233537.1093,10.9160127332036,4982.69375768263,39.7756309509277,30.84,73.0819921875,69.1344333839552
BIH,2012,17226735995.6905,10.545110406553,4693.78899115381,41.8755912780762,34.2,71.68189453125,69.0044599438137
BIH,2013,18179108530.5261,10.9371167904227,5034.56616016469,47.2628288269043,36.24,70.52458984375,68.9007380238331
BIH,2014,18558733564.4692,10.940195399639,5206.06558252,48.9852485656738,32.43,69.62556640625,68.7408428286462
BIH,2015,16404348871.4437,11.1177914654178,4662.25883724069,48.6234397888184,32.31,68.72150390625,68.4674654164134
BIH,2016,17116926327.6247,11.8138265173704,4928.5665251728,48.668140411377,29.62,67.83208984375,68.1126823098051
BIH,2017,18326373366.1105,12.563982327679,5345.01985489192,46.4159202575684,30.23,66.9664453125,67.6985985141523
BIH,2018,20484053868.9246,12.7319523996539,6047.84584261133,43.1571083068848,31.09,66.15234375,67.2051520519634
BIH,2019,20482608755.379,12.4800142540652,6122.3753450882,41.597038269043,31.41,65.34244140625,66.6702435755379
BIH,2020,20226036564.4129,12.6618393297438,6130.31133245161,40.8813400268555,28.99,64.44041015625,66.193927015007
BIH,2021,23672712242.2149,13.9863011532484,7295.3438240957,43.5776786804199,29.6,63.37708984375,65.8403513813568
BLR,2011,61762382327.9319,26.422236326059,6527.6593428786,91.2559967041016,,46.6297521068454,71.2520882300624
BLR,2012,65685890438.8922,24.7830279828939,6953.21591683101,98.5973968505859,32.9,46.5593029044007,70.9909034339942
BLR,2013,75527558966.4473,21.99575510837,7998.0802045456,101.424392700195,34.62,46.5393725235082,70.5764717728536
BLR,2014,78812805039.0743,21.0873800866231,8341.29014337961,99.8547286987305,37.1,46.5506003261518,70.0684624749577
BLR,2015,56454889146.6088,20.643977310644,5967.06856034227,98.0328598022461,38.23,46.611337189252,69.5172848567025
BLR,2016,47723545321.259,20.151871004434,5039.77560949445,94.7553405761719,30.39,46.6499448243246,68.9918011391333
BLR,2017,54725302249.8088,21.6287778492265,5785.53397723676,91.3261489868164,29.98,46.5987595325832,68.4886180343404
BLR,2018,60031173807.7196,21.2581752779595,6360.05310087258,84.5396423339844,29.35,46.5010592176569,68.079682439857
BLR,2019,64410122847.3508,21.639996437372,6837.76832136779,80.1720199584961,32.07,46.4107506220284,67.6546230933346
BLR,2020,61371755326.2351,21.486631801818,6542.8645398436,76.8908920288086,31.27,46.211212927382,67.2194165637181
BLR,2021,69673747131.87,22.7584959209403,7489.71894713888,73.9591369628906,32.6,45.8368317319537,66.8571610783922
BLZ,2011,1827050000,6.98667250485756,5582.22170621269,21.4217891693115,,14.3488820692679,61.2875727929899
BLZ,2012,1909400000,7.47878914842359,5709.68918765363,23.8754291534424,32.5,14.6608505041648,62.03986675199
BLZ,2013,2032750000,7.37670643217317,5950.20299917747,23.8531093597412,29.98,14.977071459886,62.7488459635802
BLZ,2014,2138250000,7.05717292178183,6128.14288539305,23.8641395568848,,15.2969311705392,63.4305612277798
BLZ,2015,2193050000,6.96290554250929,6154.49593498217,23.273889541626,,15.6217886891714,64.0869635986563
BLZ,2016,2240200000,6.81412373895188,6142.49873185177,24.3196296691895,,15.9888206926786,64.7671405656627
BLZ,2017,2266300000,6.64519260468605,6072.58267640581,24.7719898223877,,16.3613327487944,65.38666109327
BLZ,2018,2293250000,6.19426578000654,6031.28139580144,24.6455898284912,,16.6692678649715,65.8339174150145
BLZ,2019,2388300000,6.18222166394507,6190.04792278445,25.0688591003418,,16.9149057430951,66.2083023934209
BLZ,2020,2042850000,6.71365983797146,5227.19363786168,25.7016506195068,,17.1333625602806,66.6198410231019
BLZ,2021,2420550000,6.52331081778935,6122.61158580079,23.5184001922607,,17.3321350284963,67.0852024742852
BOL,2011,23963164696.592,10.3384637671598,2315.52121930607,,25.44,9.55315148158405,60.4436748962139
BOL,2012,27084497481.9103,10.2142087811062,2575.59857098084,,25.8,9.7071974522293,60.7689737934521
BOL,2013,30659338885.6729,9.92781122691066,2870.02377000756,,30.48,9.86117234376442,61.0995583241264
BOL,2014,32996188012.5599,9.73832797515295,3041.43503118107,,27.76,10.0146662974245,61.4525672376484
BOL,2015,33000198248.1292,10.1911908657997,2996.01289804214,,28.58,10.1677328533186,61.8000754445988
BOL,2016,33941126200.0606,10.9842215186148,3035.8734778704,,25.24,10.3203360103388,62.1216939737896
BOL,2017,37508642165.3366,10.4935084393229,3306.30301176558,,25.64,10.4722486845749,62.42532837796
BOL,2018,40287647930.4761,10.3431514961724,3500.72642189371,,22.88,10.6234357980246,62.7195359063944
BOL,2019,40895322843.7851,10.4895035463436,3503.8960106182,,24.76,10.7739185821102,63.0065128086121
BOL,2020,36629843805.0216,10.9578336602514,3099.94219044572,,22.41,10.9076885442629,63.326175000896
BOL,2021,40406111695.179,10.7268498817295,3384.84486479247,,23.4,11.0194405981723,63.6895244714713
BRA,2011,2616156223977.47,11.7837976689421,13396.6243566047,,37.75,23.3646162902273,68.8890267559546
BRA,2012,2465227803011.57,10.675942306574,12521.7213530369,43.2308502197266,36.6,23.555014752086,69.1357813616712
BRA,2013,2472819535742.73,10.4796122903756,12458.891214816,44.3393707275391,36.33,23.7467066835444,69.3600959635388
BRA,2014,2456043727198.85,10.3370973963623,12274.9939689363,47.1568717956543,36.29,23.93895376244,69.5321464348522
BRA,2015,1802212206904.68,10.5209374565841,8936.19661756825,48.4340400695801,34.95,24.1292359304821,69.6409897160951
BRA,2016,1795693482652.52,10.7864511156539,8836.28652636996,48.3333396911621,33.19,24.3137963709629,69.7156525862543
BRA,2017,2063514977334.32,10.7214980094842,10080.5092817775,50.0267486572266,33.1,24.4915070817191,69.7489521976535
BRA,2018,1916933898038.36,10.5284573768575,9300.66164936497,51.1916885375977,33.44,24.659465024515,69.7196181499875
BRA,2019,1873288205186.45,10.3325005322006,9029.83326742175,52.6240615844727,33.82,24.8207686159839,69.6671137738846
BRA,2020,1476107231194.11,10.6929315691751,7074.19378281866,54.5727996826172,31.94,24.9649852718428,69.6446402012395
BRA,2021,1670647399034.67,11.9043730103232,7972.53665048385,56.8306198120117,34.2,25.0714027283582,69.6182628596073
BRB,2011,5342183800,6.12464232323867,19345.9953139542,65.0382232666016,,642.183720930233,68.0094083052376
BRB,2012,5271257500,5.65956225815187,19034.0708028512,,,644.041860465116,67.9879034078086
BRB,2013,5361158350,5.8483405922901,19308.0091116993,,40.48,645.732558139535,67.957430716871
BRB,2014,5365976700,5.57962076130521,19277.9423599235,,40.78,647.320930232558,67.9205526894391
BRB,2015,5288057750,6.07918758073321,18954.2913724506,,42.47,648.813953488372,67.8941897559052
BRB,2016,5330761500,6.01699869709046,19065.8069800213,,,650.227906976744,67.887946065326
BRB,2017,5517340450,5.95004790759287,19692.7606711615,,,651.560465116279,67.8255422581209
BRB,2018,5629916200,5.70282023025494,20055.915870771,,,652.816279069767,67.6793351157153
BRB,2019,5788288000,5.64389591533801,20583.7265786414,,,653.96976744186,67.4642390405661
BRB,2020,5168344450,5.38561144081641,18347.1109131055,,,655.111627906977,67.167676021839
BRB,2021,5275242050,5.47452604568164,18696.7858952957,,,656.155813953488,66.8376180459442
BRN,2011,18524791070.6802,1.22071585484908,46382.8274456238,17.1019992828369,30.93,75.7853889943074,71.325789300393
BRN,2012,19048443339.9457,1.45830396709514,46968.5971144517,22.1413593292236,37.7,76.9557874762808,71.5334361550117
BRN,2013,18094148099.4922,1.14519241910596,44003.0644293856,24.0158290863037,35.53,78.026944971537,71.7757938920531
BRN,2014,17097797371.9718,1.58675856271092,41026.508391054,31.5348491668701,31.67,79.0796963946869,72.023548861969
BRN,2015,12930296852.4882,1.6178324732843,30625.128732694,30.813289642334,,80.1161290322581,72.2660325453002
BRN,2016,11400266055.3232,1.80933250875751,26663.2973199878,31.5120601654053,,81.1316888045541,72.4604971419483
BRN,2017,12128168046.7827,1.76286616709727,28024.3824618568,34.9116706848145,32.89,82.1199240986717,72.6002375384729
BRN,2018,13566908401.1864,2.13432149853163,30988.1190497851,31.5352935791016,32.84,83.0759013282732,72.6994274907237
BRN,2019,13469235348.2211,2.32782256470564,30426.5730284202,31.3982181549072,32.35,84,72.7649769585253
BRN,2020,12005799664.2691,6.83209894472881,26834.3592463839,32.6983299255371,29.82,84.896394686907,72.7870926356186
BRN,2021,14006496614.3195,9.67845068289214,31006.9636220576,30.2181224822998,28.2,85.715559772296,72.7380094549616
BTN,2011,1977728659.25621,7.42869936332201,2787.97967689425,7.69609975814819,,18.6105149933101,65.967954980215
BTN,2012,1973387228.03924,7.95902921132288,2751.21288653263,7.59584522247314,,18.8178240680012,66.3908560052253
BTN,2013,1943696951.76613,7.50187951394696,2679.95217216983,10.3402395248413,,19.0275467639111,66.7395587592534
BTN,2014,2089079570.67546,7.40898615683305,2849.49998659935,,31.83,19.2339113781252,67.0640444281068
BTN,2015,2187815803.82922,7.31166066657089,2954.04081973327,,26.06,19.4301230422121,67.4120801816861
BTN,2016,2357504760.5975,6.81082961745625,3152.30905081592,,27.88,19.6063863255034,67.7742403050814
BTN,2017,2591358009.79792,6.90939676067842,3435.28804814561,14.7713375091553,,19.7759804949664,68.3439508599965
BTN,2018,2583335721.20625,8.74705663689415,3400.20417159422,14.8788833618164,,19.920267435763,69.1310007515541
